Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,Trigger Level,6.80V,
Source,CH1,Source,CH2,Source,CH3,Source,CH4,
Label, ,Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,
Vertical Units,V,Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E+02,Vertical Scale,5.000E+01,Vertical Scale,5.000E-01,Vertical Scale,5.000E-01,
Vertical Position,1.960E+02,Vertical Position,2.000E+00,Vertical Position,-3.400E-01,Vertical Position,-1.160E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,
Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,Horizontal Position,1.728E-04,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,Sampling Period,2.000E-08,
Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,Firmware,V1.13,
Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,Time,16-Aug-16 12:55:26,
Mode,Detail,Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,Waveform Data,,
1.255200e-04,0.000000,1.255200e-04,2.000000,1.255200e-04,0.040000,1.255200e-04,0.020000,
1.255400e-04,-4.000000,1.255400e-04,2.000000,1.255400e-04,0.040000,1.255400e-04,0.020000,
1.255600e-04,-4.000000,1.255600e-04,2.000000,1.255600e-04,0.040000,1.255600e-04,0.000000,
1.255800e-04,-4.000000,1.255800e-04,0.000000,1.255800e-04,0.040000,1.255800e-04,0.020000,
1.256000e-04,-4.000000,1.256000e-04,2.000000,1.256000e-04,0.040000,1.256000e-04,0.020000,
1.256200e-04,0.000000,1.256200e-04,2.000000,1.256200e-04,0.040000,1.256200e-04,0.020000,
1.256400e-04,-4.000000,1.256400e-04,2.000000,1.256400e-04,0.040000,1.256400e-04,0.020000,
1.256600e-04,-4.000000,1.256600e-04,2.000000,1.256600e-04,0.040000,1.256600e-04,0.020000,
1.256800e-04,-4.000000,1.256800e-04,2.000000,1.256800e-04,0.040000,1.256800e-04,0.020000,
1.257000e-04,-4.000000,1.257000e-04,2.000000,1.257000e-04,0.020000,1.257000e-04,0.000000,
1.257200e-04,-8.000000,1.257200e-04,0.000000,1.257200e-04,-2.220000,1.257200e-04,1.380000,
1.257400e-04,80.000000,1.257400e-04,10.000000,1.257400e-04,2.880000,1.257400e-04,-1.400000,
1.257600e-04,84.000000,1.257600e-04,12.000000,1.257600e-04,2.880000,1.257600e-04,3.700000,
1.257800e-04,212.000000,1.257800e-04,76.000000,1.257800e-04,-2.220000,1.257800e-04,-1.400000,
1.258000e-04,208.000000,1.258000e-04,78.000000,1.258000e-04,-0.980000,1.258000e-04,3.700000,
1.258200e-04,160.000000,1.258200e-04,58.000000,1.258200e-04,1.880000,1.258200e-04,-1.400000,
1.258400e-04,156.000000,1.258400e-04,50.000000,1.258400e-04,1.320000,1.258400e-04,1.980000,
1.258600e-04,180.000000,1.258600e-04,52.000000,1.258600e-04,0.480000,1.258600e-04,-0.420000,
1.258800e-04,184.000000,1.258800e-04,60.000000,1.258800e-04,1.020000,1.258800e-04,0.720000,
1.259000e-04,176.000000,1.259000e-04,62.000000,1.259000e-04,0.540000,1.259000e-04,1.000000,
1.259200e-04,176.000000,1.259200e-04,60.000000,1.259200e-04,0.740000,1.259200e-04,0.800000,
1.259400e-04,176.000000,1.259400e-04,58.000000,1.259400e-04,0.760000,1.259400e-04,0.780000,
1.259600e-04,172.000000,1.259600e-04,54.000000,1.259600e-04,0.800000,1.259600e-04,0.740000,
1.259800e-04,172.000000,1.259800e-04,56.000000,1.259800e-04,0.820000,1.259800e-04,0.760000,
1.260000e-04,176.000000,1.260000e-04,60.000000,1.260000e-04,0.800000,1.260000e-04,0.860000,
1.260200e-04,180.000000,1.260200e-04,62.000000,1.260200e-04,0.760000,1.260200e-04,0.900000,
1.260400e-04,176.000000,1.260400e-04,62.000000,1.260400e-04,0.780000,1.260400e-04,0.840000,
1.260600e-04,172.000000,1.260600e-04,58.000000,1.260600e-04,0.860000,1.260600e-04,0.780000,
1.260800e-04,176.000000,1.260800e-04,58.000000,1.260800e-04,0.860000,1.260800e-04,0.780000,
1.261000e-04,180.000000,1.261000e-04,62.000000,1.261000e-04,0.860000,1.261000e-04,0.860000,
1.261200e-04,180.000000,1.261200e-04,66.000000,1.261200e-04,0.840000,1.261200e-04,0.880000,
1.261400e-04,176.000000,1.261400e-04,66.000000,1.261400e-04,0.820000,1.261400e-04,0.880000,
1.261600e-04,176.000000,1.261600e-04,64.000000,1.261600e-04,0.840000,1.261600e-04,0.840000,
1.261800e-04,176.000000,1.261800e-04,62.000000,1.261800e-04,0.840000,1.261800e-04,0.840000,
1.262000e-04,176.000000,1.262000e-04,62.000000,1.262000e-04,0.860000,1.262000e-04,0.840000,
1.262200e-04,176.000000,1.262200e-04,66.000000,1.262200e-04,0.860000,1.262200e-04,0.880000,
1.262400e-04,176.000000,1.262400e-04,68.000000,1.262400e-04,0.860000,1.262400e-04,0.900000,
1.262600e-04,176.000000,1.262600e-04,68.000000,1.262600e-04,0.860000,1.262600e-04,0.880000,
1.262800e-04,176.000000,1.262800e-04,68.000000,1.262800e-04,0.880000,1.262800e-04,0.880000,
1.263000e-04,176.000000,1.263000e-04,68.000000,1.263000e-04,0.880000,1.263000e-04,0.880000,
1.263200e-04,176.000000,1.263200e-04,72.000000,1.263200e-04,0.900000,1.263200e-04,0.900000,
1.263400e-04,180.000000,1.263400e-04,72.000000,1.263400e-04,0.900000,1.263400e-04,0.940000,
1.263600e-04,180.000000,1.263600e-04,74.000000,1.263600e-04,2.880000,1.263600e-04,2.280000,
1.263800e-04,-8.000000,1.263800e-04,46.000000,1.263800e-04,-2.220000,1.263800e-04,-0.460000,
1.264000e-04,12.000000,1.264000e-04,44.000000,1.264000e-04,2.880000,1.264000e-04,2.080000,
1.264200e-04,-88.000000,1.264200e-04,-14.000000,1.264200e-04,-2.220000,1.264200e-04,-1.400000,
1.264400e-04,-32.000000,1.264400e-04,-10.000000,1.264400e-04,1.880000,1.264400e-04,-1.400000,
1.264600e-04,32.000000,1.264600e-04,36.000000,1.264600e-04,-1.140000,1.264600e-04,1.540000,
1.264800e-04,28.000000,1.264800e-04,32.000000,1.264800e-04,1.140000,1.264800e-04,0.800000,
1.265000e-04,-24.000000,1.265000e-04,22.000000,1.265000e-04,-1.060000,1.265000e-04,-0.220000,
1.265200e-04,-16.000000,1.265200e-04,22.000000,1.265200e-04,0.480000,1.265200e-04,-0.100000,
1.265400e-04,4.000000,1.265400e-04,24.000000,1.265400e-04,-0.120000,1.265400e-04,0.360000,
1.265600e-04,-8.000000,1.265600e-04,26.000000,1.265600e-04,0.000000,1.265600e-04,0.000000,
1.265800e-04,-4.000000,1.265800e-04,32.000000,1.265800e-04,0.460000,1.265800e-04,0.400000,
1.266000e-04,8.000000,1.266000e-04,34.000000,1.266000e-04,0.280000,1.266000e-04,0.400000,
1.266200e-04,-4.000000,1.266200e-04,30.000000,1.266200e-04,0.040000,1.266200e-04,0.060000,
1.266400e-04,-8.000000,1.266400e-04,26.000000,1.266400e-04,0.260000,1.266400e-04,0.220000,
1.266600e-04,-4.000000,1.266600e-04,28.000000,1.266600e-04,0.240000,1.266600e-04,0.020000,
1.266800e-04,0.000000,1.266800e-04,34.000000,1.266800e-04,0.280000,1.266800e-04,0.100000,
1.267000e-04,0.000000,1.267000e-04,36.000000,1.267000e-04,0.080000,1.267000e-04,0.320000,
1.267200e-04,-4.000000,1.267200e-04,34.000000,1.267200e-04,0.220000,1.267200e-04,0.200000,
1.267400e-04,-8.000000,1.267400e-04,30.000000,1.267400e-04,0.220000,1.267400e-04,0.140000,
1.267600e-04,-4.000000,1.267600e-04,32.000000,1.267600e-04,0.200000,1.267600e-04,0.180000,
1.267800e-04,-4.000000,1.267800e-04,36.000000,1.267800e-04,0.240000,1.267800e-04,0.220000,
