time in s,CH2 in V
59.00003E-6,-57.43E-6
59.20003E-6,-57.43E-6
59.20003E-6,102.6E-6
59.40003E-6,182.6E-6
59.40003E-6,-97.43E-6
59.60003E-6,-377.4E-6
59.60003E-6,-97.43E-6
59.80003E-6,222.6E-6
59.80003E-6,-257.4E-6
60.00004E-6,222.6E-6
60.00004E-6,-217.4E-6
60.20004E-6,62.57E-6
60.20004E-6,-217.4E-6
60.40004E-6,62.57E-6
60.40004E-6,-97.43E-6
60.60004E-6,102.6E-6
60.60004E-6,-57.43E-6
60.80004E-6,-57.43E-6
60.80004E-6,102.6E-6
61.00004E-6,-177.4E-6
61.00004E-6,-17.43E-6
61.20005E-6,102.6E-6
61.20005E-6,-97.43E-6
61.40005E-6,182.6E-6
61.40005E-6,22.57E-6
61.60005E-6,-57.43E-6
61.60005E-6,62.57E-6
61.80005E-6,222.6E-6
61.80005E-6,-337.4E-6
62.00005E-6,142.6E-6
62.00005E-6,-97.43E-6
62.20005E-6,-257.4E-6
62.20005E-6,22.57E-6
62.40005E-6,-257.4E-6
62.40005E-6,-97.43E-6
62.60006E-6,62.57E-6
62.60006E-6,-137.4E-6
62.80006E-6,182.6E-6
62.80006E-6,-17.43E-6
63.00006E-6,-97.43E-6
63.00006E-6,102.6E-6
63.20006E-6,-177.4E-6
63.20006E-6,-17.43E-6
63.40006E-6,-177.4E-6
63.40006E-6,-17.43E-6
63.60006E-6,-177.4E-6
63.60006E-6,-57.43E-6
63.80006E-6,-257.4E-6
63.80006E-6,-137.4E-6
64.00007E-6,22.57E-6
64.00007E-6,-217.4E-6
64.20007E-6,182.6E-6
64.20007E-6,-17.43E-6
64.40007E-6,222.6E-6
64.40007E-6,22.57E-6
64.60007E-6,-177.4E-6
64.60007E-6,102.6E-6
64.80007E-6,-257.4E-6
64.80007E-6,-97.43E-6
65.00007E-6,-17.43E-6
65.00007E-6,-177.4E-6
65.20008E-6,-217.4E-6
65.20008E-6,-57.43E-6
65.40008E-6,-297.4E-6
65.40008E-6,-137.4E-6
65.60008E-6,-17.43E-6
65.60008E-6,-257.4E-6
65.80008E-6,102.6E-6
65.80008E-6,-97.43E-6
66.00008E-6,102.6E-6
66.00008E-6,-97.43E-6
66.20008E-6,-177.4E-6
66.20008E-6,-17.43E-6
66.40008E-6,-177.4E-6
66.40008E-6,-17.43E-6
66.60009E-6,-177.4E-6
66.60009E-6,-17.43E-6
66.80009E-6,-297.4E-6
66.80009E-6,-137.4E-6
67.00009E-6,-57.43E-6
67.00009E-6,-297.4E-6
67.20009E-6,182.6E-6
67.20009E-6,-97.43E-6
67.40009E-6,222.6E-6
67.40009E-6,22.57E-6
67.60009E-6,-137.4E-6
67.60009E-6,102.6E-6
67.80010E-6,-177.4E-6
67.80010E-6,-57.43E-6
68.00010E-6,-177.4E-6
68.00010E-6,-57.43E-6
68.20010E-6,-177.4E-6
68.20010E-6,-57.43E-6
68.40010E-6,-177.4E-6
68.40010E-6,-17.43E-6
68.60010E-6,142.6E-6
68.60010E-6,-57.43E-6
68.80000E-6,-17.43E-6
68.80000E-6,102.6E-6
69.00000E-6,-97.43E-6
69.00000E-6,62.57E-6
69.20000E-6,-137.4E-6
69.20000E-6,-17.43E-6
69.40001E-6,-97.43E-6
69.40001E-6,22.57E-6
69.60001E-6,-97.43E-6
69.60001E-6,62.57E-6
69.80001E-6,-137.4E-6
69.80001E-6,62.57E-6
70.00001E-6,-137.4E-6
70.00001E-6,22.57E-6
70.20001E-6,102.6E-6
70.20001E-6,-17.43E-6
70.40001E-6,-137.4E-6
70.40001E-6,22.57E-6
70.60001E-6,-177.4E-6
70.60001E-6,-57.43E-6
70.80002E-6,-177.4E-6
70.80002E-6,-17.43E-6
71.00002E-6,62.57E-6
71.00002E-6,-137.4E-6
71.20002E-6,142.6E-6
71.20002E-6,-57.43E-6
71.40002E-6,142.6E-6
71.40002E-6,-57.43E-6
71.60002E-6,-17.43E-6
71.60002E-6,102.6E-6
71.80002E-6,222.6E-6
71.80002E-6,22.57E-6
72.00003E-6,-217.4E-6
72.00003E-6,102.6E-6
72.20003E-6,-297.4E-6
72.20003E-6,-137.4E-6
72.40003E-6,-97.43E-6
72.40003E-6,-297.4E-6
72.60003E-6,182.6E-6
72.60003E-6,-137.4E-6
72.80003E-6,182.6E-6
72.80003E-6,-217.4E-6
73.00003E-6,102.6E-6
73.00003E-6,-257.4E-6
73.20003E-6,182.6E-6
73.20003E-6,-17.43E-6
73.40004E-6,-137.4E-6
73.40004E-6,22.57E-6
73.60004E-6,-377.4E-6
73.60004E-6,-57.43E-6
73.80004E-6,-137.4E-6
73.80004E-6,-417.4E-6
74.00004E-6,62.57E-6
74.00004E-6,-137.4E-6
74.20004E-6,142.6E-6
74.20004E-6,-17.43E-6
74.40004E-6,-57.43E-6
74.40004E-6,102.6E-6
74.60005E-6,-97.43E-6
74.60005E-6,22.57E-6
74.80005E-6,-137.4E-6
74.80005E-6,-17.43E-6
75.00005E-6,-457.4E-6
75.00005E-6,-57.43E-6
75.20005E-6,-57.43E-6
75.20005E-6,-417.4E-6
75.40005E-6,62.57E-6
75.40005E-6,-137.4E-6
75.60005E-6,-137.4E-6
75.60005E-6,22.57E-6
75.80005E-6,-217.4E-6
75.80005E-6,-17.43E-6
76.00006E-6,-17.43E-6
76.00006E-6,-217.4E-6
76.20006E-6,22.57E-6
76.20006E-6,-137.4E-6
76.40006E-6,-137.4E-6
76.40006E-6,22.57E-6
76.60006E-6,-217.4E-6
76.60006E-6,-57.43E-6
76.80006E-6,142.6E-6
76.80006E-6,-177.4E-6
77.00006E-6,102.6E-6
77.00006E-6,-17.43E-6
77.20006E-6,-177.4E-6
77.20006E-6,22.57E-6
77.40007E-6,-257.4E-6
77.40007E-6,-97.43E-6
77.60007E-6,-57.43E-6
77.60007E-6,-217.4E-6
77.80007E-6,-17.43E-6
77.80007E-6,-137.4E-6
78.00007E-6,-177.4E-6
78.00007E-6,-57.43E-6
78.20007E-6,-177.4E-6
78.20007E-6,-17.43E-6
78.40007E-6,142.6E-6
78.40007E-6,-57.43E-6
78.60008E-6,182.6E-6
78.60008E-6,-17.43E-6
